[2025-04-22 11:10:41] Monitoring started (Interval: 500ms, Dry-run: No)
[2025-04-22 11:11:25] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:25] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:26] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:26] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:27] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:27] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:28] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:28] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:29] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:29] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:30] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:30] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:31] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:31] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:32] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:32] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:33] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:34] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:34] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:16:53] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:16:53] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:16:54] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:16:54] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:16:55] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:16:55] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:16:56] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:16:56] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:16:57] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:16:58] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:16:58] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:16:59] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:16:59] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:00] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:00] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:01] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:01] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:02] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:02] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:03] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:03] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:04] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:04] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:05] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:05] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:06] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:06] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:07] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:07] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:08] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:08] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:09] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:09] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:10] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:10] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:11] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:11] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:12] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:12] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:13] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:13] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:14] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:14] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:15] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:15] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:16] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:16] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:17] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:17] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:18] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:18] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:19] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:19] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:20] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:20] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:21] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:21] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:22] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:22] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:23] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:23] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:24] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:25] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:25] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:26] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:26] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:27] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:27] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:28] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:28] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:29] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:29] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:30] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:30] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:31] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:31] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:32] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:32] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:33] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:33] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:34] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:34] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:35] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:35] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:36] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:36] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:37] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:37] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:38] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:38] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:39] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:39] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:40] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:40] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:41] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:41] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:42] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:42] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:43] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:43] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:44] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:44] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:45] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:45] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:46] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:46] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:47] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:47] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:48] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:49] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:49] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:50] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:50] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:51] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:51] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:52] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:52] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:53] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:53] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:54] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:54] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:55] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:55] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:56] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:56] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:57] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:57] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:58] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:58] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:59] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:17:59] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:00] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:00] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:01] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:01] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:02] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:02] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:03] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:03] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:04] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:04] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:05] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:05] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:06] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:06] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:07] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:07] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:08] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:08] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:09] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:09] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:10] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:10] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:11] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:12] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:12] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:13] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:13] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:14] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:14] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:15] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:15] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:16] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:16] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:17] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:17] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:18] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:18] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:19] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:19] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:20] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:20] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:21] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:21] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:22] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:22] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:23] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:23] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:24] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:24] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:25] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:25] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:26] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:26] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:27] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:27] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:28] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:28] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:29] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:29] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:30] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:30] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:31] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:31] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:32] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:18:32] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
